tau,G,sigma G,cc Fit
0.0256674666666667,0.0300662837686902,0.0066602626566607,0.025899173576937447
0.0273058666666667,0.0262529219978631,0.0068683965816771,0.024458289478887573
0.0294904,0.0224397686499369,0.0081308185061562,0.022770967624584144
0.0316749333333333,0.0255711716033626,0.0073595041152921,0.021303112248168974
0.0338594666666667,0.0287240330675151,0.0082848240492386,0.02001451962820549
0.036044,0.0269446311118835,0.0075616428144759,0.018874240735026367
0.0382285333333333,0.0240420492736018,0.008117222449791,0.017858063163687005
0.0404130666666667,0.0226963706893832,0.007038383583176,0.016946772791865575
0.0425976,0.0176749456451812,0.0063739209654297,0.01612492730250875
0.0447821333333333,0.0169961112468289,0.0048909950084247,0.01537997395538666
0.0469666666666667,0.0153949884210889,0.0065690318166977,0.014701603917176207
0.0491512,0.0124505806563526,0.0074355363258166,0.014081272313801862
0.0513357333333333,0.0135593824537601,0.0067429798459277,0.013511836416084251
0.0546125333333333,0.0160145502187905,0.0063352851128577,0.01274020447430837
0.0589816,0.017157125079087,0.0051446688373687,0.011840536595641157
0.0633506666666667,0.0173213203089313,0.0021222094086991,0.011061319973268246
0.0677197333333333,0.0128315345399792,0.0062003246295528,0.010379882552883815
0.0720888,0.0157926425727775,0.006688904538163,0.009778906316451527
0.0764578666666667,0.0165010628513937,0.0057941203302256,0.009244934933611526
0.0808269333333333,0.0188844687045326,0.0039515557278581,0.008767354216688672
0.085196,0.0164962659551182,0.0044319260714566,0.008337679385866175
0.0895650666666667,0.010883916956981,0.0043885234309265,0.007949046573054355
0.0939341333333333,0.0082175165667191,0.0069795803231842,0.007595843396618274
0.0983032,0.0068479229363913,0.0058923655882981,0.007273436167182281
0.102672266666667,0.0043260801220088,0.004754726845216,0.006977965467792036
0.109225866666667,0.0066987174230281,0.0048939752475039,0.006578316400610657
0.117964,0.0024931358635955,0.0031805303430472,0.006113422742807893
0.126702133333333,0.002582718531948,0.005601457421239,0.0057116976539748855
0.135440266666667,0.0019947393760779,0.0043118331942363,0.005361085407867343
0.1441784,0.0038856645956217,0.006324903399648,0.005052414570796517
0.152916533333333,-0.0011938750121026,0.0059700017788052,0.004778584110049404
0.161654666666667,-0.0045012732177668,0.0038399109623986,0.0045340103769123475
0.1703928,-0.0030247684527844,0.0046231293535793,0.004314242357734946
0.179130933333333,-0.0028748030858998,0.0039343328581316,0.004115688343376857
0.187869066666667,0.000706460050122,0.003478225542154,0.003935418107305422
0.1966072,0.000629438224694,0.0059427836234465,0.0037710173273592896
0.205345333333333,-0.0048410210055301,0.0084681196947627,0.00362047883301397
0.218452533333333,0.001720188633461,0.0082547212576363,0.003417055647257756
0.2359288,0.0011132868096488,0.0079939936832074,0.0031807012217255543
0.253405066666667,-0.0036085973673254,0.00392893131888,0.0029767029006416024
0.270881333333333,-0.0066092194081183,0.0080705872860603,0.0027988421720087564
0.2883576,-0.0052176746912385,0.0075510220977616,0.0026423980968777365
0.305833866666667,-0.0033955726023614,0.0066772071759159,0.0025037220937279745
0.323310133333333,7.40875467264424e-06,0.0077978912253442,0.002379949818621329
0.3407864,0.0003683284257607,0.0084267406412192,0.002268801202253935
0.358262666666667,0.0055169976694069,0.0068802693890333,0.002168438701592312
0.375738933333333,0.0023956532904183,0.006795583972671,0.0020773649086131547
